Car,Style,Range,Transmission,VehicleType,PriceRange(Lakhs),Capacity,BootSpace,BaseModel,TopModel
Tata Nexon EV,Compact SUV,312.00,Automatic,Electric,17.4,5.00,350,XM,Dark XZ Plus LUX
Tata Tigor EV,Subcompact Sedan,306.00,Automatic,Electric,13.64,5.00,316,XE,XZ Plus Dual Tone
Tata Nexon EV Max,Compact SUV,437.00,Automatic,Electric,19.24,5.00,350,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW
MG ZS EV,Compact SUV,419.00,Automatic,Electric,25.88,5.00,448,Excite,Exclusive
Hyundai Kona Electric,Compact SUV,452.00,Automatic,Electric,23.98,5.00,,Premium Dual Tone,HSE
Jaguar I-Pace,Premium Midsize Sedan,470.00,Automatic,Electric,112,5.00,656,S,Sportback 55
Audi E-Tron GT,Premium Coupe,388.00,Automatic,Electric,180,5.00,405,Quattro,na
BYD E6,Subcompact MPV,415.00,Automatic,Electric,29.15,5.00,580,STD,na
Mercedes-Benz EQC,Compact SUV,471.00,Automatic,Electric,100,5.00,,na,na
BMW iX,Premium Fullsize SUV,425.00,Automatic,Electric,116,5.00,,na,na
Porsche Taycan,Premium Sports Sedan,,Automatic,Electric,150,4.00,,na,na
Audi E-Tron,Compact SUV,400.00,Automatic,Electric,119,5.00,660,na,na
